4 1:0.5799910322016728 2:0.6269311904907227 3:0.6689731082189073 4:0.6666666269302368 5:0.7165572664608882 6:1.0 7:0.41701820964924186 8:0.6987302518784784
4 1:0.6514543633909358 2:0.8333333134651184 3:0.53372649072536 4:0.5154639482498169 5:0.633052870380357 6:1.0 7:0.4544733349324044 8:0.670032081326384
3 1:0.418375211414458 2:0.75 3:0.3641579689493589 4:0.4166666865348816 5:0.5065424498572922 6:1.0 7:0.4678818849737524 8:0.711770419619822
3 1:0.9475402559556105 2:0.9318181872367859 3:0.9006377467894953 4:0.7150537967681885 5:0.8419153850784327 6:0.6 7:0.6099120100967634 8:0.8259347694903054
2 1:0.0707185399054574 2:0.3787698447704315 3:0.315067821189179 4:0.3999999761581421 5:0.05433657710600693 6:0.3333333333333333 7:0.18702427700092605 8:0.0
1 1:0.17809829523750842 2:0.4960317611694336 3:0.3568074858933694 4:0.2795698642730713 5:0.1637287984861063 6:0.23529411764705882 7:0.2284225133712116 8:0.0
5 1:0.4229033490671815 2:0.6069048047065735 3:0.5537549405648143 4:0.25157231092453003 5:0.5820580612066145 6:0.8888888888888888 7:0.33118916790498243 8:0.9557569217424201
4 1:0.6391690233389921 2:0.8518518805503845 3:0.7205351697262206 4:0.5 5:0.7062707822731593 6:0.6666666666666666 7:0.47039347447905777 8:0.8713104330038167
4 1:0.5776058684485268 2:0.9166666865348816 3:0.7495307969066037 4:0.5596330165863037 5:0.734705258777013 6:0.0 7:0.563811363948597 8:0.946436974309417
3 1:0.36209547564191613 2:0.6458333134651184 3:0.3261474905929612 4:0.45132744312286377 5:0.28651415043117606 6:1.0 7:0.277062445653549 8:0.8879537835325728
4 1:0.4415358693481067 2:0.7544444799423218 3:0.618212287508504 4:0.27210885286331177 5:0.5958641030589086 6:0.5 7:0.5305641394717566 8:0.8144697434700164
4 1:0.7682642524208367 2:1.0 3:0.8092268220007001 4:0.6077347993850708 5:0.7750656678610264 6:1.0 7:0.5912639749220079 8:0.9057330268398945
5 1:0.6075693207840024 2:1.0 3:0.7440824761427113 4:0.8208955526351929 5:0.8427801148356969 6:1.0 7:0.5188739476274309 8:0.9261712119062714
5 1:0.678057795545453 2:1.0 3:0.7419598479456406 4:0.2360248565673828 5:0.8706694783381563 6:0.8 7:0.5716895724992449 8:0.9003201804145816
5 1:0.5309296299568158 2:1.0 3:0.46807280548632185 4:0.2083333134651184 5:0.6322549519966072 6:0.3333333333333333 7:0.5116174345058762 8:1.0
3 1:0.6083987780639837 2:0.6690476536750793 3:0.6769008849888529 4:0.625 5:0.6056400571977183 6:0.8 7:0.34027981874117796 8:0.9588989854914938
5 1:0.4700139073309354 2:0.6733333468437195 3:0.6680624468698116 4:0.35211265087127686 5:0.6021835999311267 6:1.0 7:0.4238297970187318 8:0.8399413087175462
4 1:0.37264280122881255 2:0.45000001788139343 3:0.4872080305634909 4:0.52173912525177 5:0.2688311904785315 6:1.0 7:0.18487053131110195 8:0.7138453532338536
3 1:0.6379960285662925 2:0.800000011920929 3:0.6065681870730634 4:0.3975903391838074 5:0.5567939642913943 6:1.0 7:0.3779152789254646 8:0.9712072315058647
5 1:0.6422376053419147 2:0.8928571343421936 3:0.7752106816673896 4:0.5053763389587402 5:0.615729634948024 6:0.6666666666666666 7:0.4376525527988223 8:0.9642065266926819
4 1:0.4129919008521586 2:0.9166666865348816 3:0.6810603164921953 4:0.47706419229507446 5:0.5187794343363372 6:1.0 7:0.3542693288416231 8:0.871540188548985
4 1:0.4056503579753539 2:0.6899999976158142 3:0.26614837405433056 4:0.1764705777168274 5:0.4857498981687273 6:0.25 7:0.3693586763247869 8:0.5969469243572161
4 1:0.3404082690364585 2:0.6388888955116272 3:0.4080692912187059 4:0.4729729890823364 5:0.32803815746568227 6:1.0 7:0.3368423067466604 8:0.8892178333087265
1 1:0.05207239863285023 2:0.3400000035762787 3:0.367039723209504 4:0.4838709831237793 5:0.026369109864270945 6:0.2 7:0.06111788230732507 8:0.9559432908733789
