0.0 1:0.2581514995479074 2:0.6785714626312256 3:0.502268209260933 4:0.41904759407043457 5:0.2717856072548746 6:0.5097259298384151 7:0.027580228798418968 8:0.9237663510979592 9:1.0 10:0.03436825625137857 13:0.17883211678832117 14:0.32499998807907104 15:0.309345310071 16:13.0
0.0 1:0.3556448284255796 2:0.6225107908248901 3:0.7057940858816343 4:0.40186917781829834 5:0.39442018132556633 6:0.6326454558942767 7:0.03863108372918135 8:0.6826258137145793 9:1.0 10:0.11571782886949308 13:0.3063973063973064 14:0.0 15:0.738461538462 16:64.0
0.0 1:0.33161711789642245 2:0.0 3:0.5679494876501953 4:0.5056818127632141 5:0.3505199674498777 6:0.0 7:0.0 8:0.928897641686135 9:1.0 10:0.038765740979417304 13:0.22247191011235956 14:0.39393937587738037 15:0.360451977401 16:5.0
0.0 1:0.16161475786653431 2:0.30519479513168335 3:0.4381447737281513 4:0.2511627674102783 5:0.08514691350572198 6:1.0 7:6.1266801470869336E-9 8:0.578329723332967 9:0.0 10:0.011636533916261314 13:0.08928571428571429 14:-1.0625 15:0.17 16:132.0
0.0 1:0.2692468393634838 2:0.2895124852657318 3:0.5424103873054849 4:0.2606382966041565 5:0.37388812669360955 6:0.0 7:9.636479014233485E-9 8:0.8925128367041814 9:0.0 10:0.005864952547804647 13:0.2073170731707317 14:-0.3333333730697632 15:0.541353383459 16:92.0
0.0 1:0.23894312785454105 2:0.1517857164144516 3:0.5460136442118392 4:0.44324326515197754 5:0.32571050107016536 6:0.40822029396594645 7:1.5844106384833059E-9 8:0.0 9:1.0 10:5.117296134725175E-4 13:0.1308411214953271 14:0.2857142686843872 15:0.235714285714 16:54.0
0.0 1:0.5060008024303847 2:0.49761903285980225 3:0.6577646257631231 4:0.4363636374473572 5:0.5637169897543288 6:0.5664660758954078 7:2.906919137129149E-8 8:0.6193507761508611 9:0.0 10:0.16883615197037907 13:0.30625 14:-0.06666672229766846 15:0.60989010989 16:41.0
0.0 1:0.23411022848803845 2:0.5408163070678711 3:0.5192809237192322 4:0.3535911440849304 5:0.370439161450917 6:0.7364859242247848 7:0.023782362476450762 8:0.9095857282705021 9:1.0 10:0.2547573768491048 13:0.1554054054054054 14:0.15151512622833252 15:0.378494623656 16:16.0
0.0 1:0.040659269982814474 2:0.5523809194564819 3:0.4049909614559937 4:0.3020833134651184 5:0.09793408041254333 6:0.0 7:0.03308203700964621 8:0.8304768969953424 9:1.0 10:0.2391396600585542 13:0.032327586206896554 14:0.09259259700775146 15:0.0919117647059 16:89.0
0.0 1:0.4206879951007221 2:1.0 3:0.6121400064923994 4:0.2964823842048645 5:0.5102104687339942 6:0.875119008662385 7:0.008193684116113419 8:0.9418199284456132 9:1.0 10:0.2184150448805994 13:0.22559652928416485 14:0.06060606241226196 15:0.551724137931 16:39.0
0.0 1:0.34263102903953213 2:1.0 3:0.5480610026001821 4:0.30434781312942505 5:0.48404661331333904 6:0.618725067937607 7:0.1253897977762064 8:0.6237888324153676 9:1.0 10:0.013969642109500528 13:0.17688679245283018 14:-0.34285712242126465 15:0.477696216827 16:104.0
0.0 1:0.2810363532622263 2:0.6544091701507568 3:0.589755625979371 4:0.3720930218696594 5:0.3897686589931534 6:0.47588952306589866 7:0.02243666577097874 8:0.6318369827527237 9:0.1875590313906108 10:0.12718759749547054 13:0.2060931899641577 14:0.19999998807907104 15:0.382089552239 16:12.0
0.0 1:0.19066046301553796 2:0.21875 3:0.4544996030164592 4:0.3475610017776489 5:0.33719588600267986 6:0.16701807438762376 7:6.502794889778009E-10 8:0.7434233543311375 9:0.03916222855660867 10:0.07345611043276994 13:0.08620689655172414 14:0.16129034757614136 15:0.213527851459 16:50.0
