5 1:0.6935004426264343 2:1.0 3:0.9620593402152268 4:0.8461538553237915 5:0.6156362671910832 6:1.0 7:0.7643071595061068 8:0.903126349100591
5 1:0.7340906529273761 2:1.0 3:0.7400488834967412 4:0.800000011920929 5:0.9995235009156455 6:1.0 7:0.762728373171212 8:1.0
0 1:0.5739034757754808 2:0.6666666865348816 3:0.6001108137705802 4:0.8421052694320679 5:0.5356066040768832 6:1.0 7:0.4497935881938432 8:0.0
1 1:0.7236379983917091 2:0.8125 3:0.692439186531582 4:0.8409091234207153 5:0.6789001144400247 6:1.0 7:0.424511072906844 8:0.0
4 1:0.6103457472988254 2:0.8333333134651184 3:0.8135094408253423 4:0.8571428656578064 5:0.6193512373166771 6:1.0 7:0.4616349982880541 8:0.7405223668984633
4 1:0.5857597887996447 2:0.7777777314186096 3:0.6165521913852399 4:0.8620689511299133 5:0.5953668500342432 6:1.0 7:0.5008168353881958 8:0.7490869333900119
5 1:0.6684657497114851 2:0.8333333134651184 3:0.7807145559751014 4:0.8571428656578064 5:0.654909625900215 6:1.0 7:0.5363784817442747 8:0.9056051564584613
3 1:0.6699377564115012 2:0.75 3:0.7752872931486392 4:0.8333333134651184 5:0.7571309539231813 6:1.0 7:0.5346540960477228 8:0.9392956142451604
5 1:0.45644436746330996 2:1.0 3:0.9733236566482176 4:0.800000011920929 5:0.338412008485665 6:1.0 7:0.731990898241026 8:1.0
4 1:0.6259345302303688 2:0.5982142686843872 3:0.8371552753460434 4:0.8235294222831726 5:0.6471535660714107 6:1.0 7:0.4199422982485259 8:0.950361731745127
5 1:0.8773235709386006 2:1.0 3:0.8552225499310262 4:0.8421052694320679 5:0.9265612158102411 6:1.0 7:0.7299274322079169 8:1.0
1 1:0.47544278390927575 2:0.5111111402511597 3:0.7042891951304422 4:0.8571428656578064 5:0.38546139369187155 6:1.0 7:0.26011557683077746 8:0.0
5 1:0.9137502016949074 2:1.0 3:0.7695965211880723 4:0.8064516186714172 5:0.9871036576421814 6:1.0 7:0.7874944440523836 8:1.0
4 1:0.4196975670967953 2:0.8333333134651184 3:0.5114259355005318 4:0.8125 5:0.3779191804346435 6:1.0 7:0.6847106290440427 8:1.0
3 1:0.7126284867188528 2:0.7777778506278992 3:0.7248404819253211 4:0.84375 5:0.6763070611057738 6:1.0 7:0.44004971227558165 8:0.9373935540549607
2 1:0.7587577533249332 2:0.75 3:0.7995434242973354 4:0.8709677457809448 5:0.7578943292283585 6:1.0 7:0.568330254336005 8:0.9801938633140116
5 1:0.8386826726883223 2:1.0 3:0.34731981693852726 4:0.8214285373687744 5:0.9659941665646389 6:1.0 7:0.8209368602373752 8:1.0
4 1:0.7317339317005923 2:0.7777777314186096 3:0.8511904324227698 4:0.8846153616905212 5:0.6791233535038819 6:1.0 7:0.49904934987454685 8:0.9379476682825824
5 1:0.8386826726883223 2:1.0 3:0.34731981693852726 4:0.8214285373687744 5:0.9659941665646389 6:1.0 7:0.8209368602373752 8:1.0
3 1:0.5944533988729551 2:0.75 3:0.7121582740432766 4:0.8461538553237915 5:0.5200144675334845 6:1.0 7:0.45239088656861703 8:0.9567268607688195
5 1:0.7094685522401605 2:0.7857142686843872 3:0.6780933662987663 4:0.8372092843055725 5:0.6206614289967177 6:1.0 7:0.5395454827518009 8:1.0
3 1:0.7369089840962161 2:0.6666666865348816 3:0.8453056704763953 4:0.8095238208770752 5:0.7702607993411201 6:1.0 7:0.3910513195503479 8:0.8596661486822653
