0.0 1:0.09623477369154454 2:0.7346023321151733 3:0.3809142751325926 4:0.3545454740524292 5:0.20965078149297073 6:1.0 7:0.37465923160052417 8:0.7625706361614147 9:1.0 10:7.699487549993386E-4 11:0.13231206520508335 12:0.0 13:0.08187134502923976 14:0.1818181872367859 15:0.5 16:30.0
0.0 1:0.13719905178001257 2:0.5961151123046875 3:0.4595543117089039 4:0.3684210777282715 5:0.07841316635558987 6:1.0 7:2.9499244944113186E-7 8:0.0 9:1.0 10:2.0712006686175657E-7 11:0.2079616959153176 12:0.7652424514397833 13:0.08333333333333333 14:0.307692289352417 15:0.0 16:7.0
0.0 1:0.24921541935910896 2:0.7755101323127747 3:0.27893104680996217 4:0.3285714387893677 5:0.30408728553584863 6:1.0 7:0.33477032240090177 8:0.0 9:1.0 10:0.0 11:0.3743797912350434 12:0.0 13:0.0784313725490196 14:0.09090906381607056 15:0.538461538462 16:12.0
0.0 1:0.10638235881766134 2:0.7825718522071838 3:0.3781743892502326 4:0.23255813121795654 5:0.08351345515272839 6:0.0 7:0.12170100428614403 8:0.0 9:0.0 10:9.507474775304467E-6 11:0.13238562638521964 12:0.0 13:0.03870967741935484 14:0.1499999761581421 15:0.267558528428 16:8.0
0.0 1:0.050602308668053285 2:0.6689682602882385 3:0.28096683977213005 4:0.23376625776290894 5:0.008238307001747987 6:1.0 7:0.10584981534220593 8:0.0 9:0.0 10:0.0 11:0.0864814457221094 12:0.0 13:0.01818181818181818 14:-0.1818181276321411 15:0.557142857143 16:22.0
0.0 1:0.04444947521032927 2:0.5963718295097351 3:0.25935857586106914 4:0.2783505320549011 5:0.02543704503348754 6:1.0 7:0.11955017562189782 8:0.0 9:1.0 10:4.2142183295886326E-5 11:0.0 12:0.0 13:0.038461538461538464 14:-0.07692313194274902 15:0.194444444444 16:20.0
0.0 1:0.003778955271802136 2:0.7359833121299744 3:0.19914815330688243 4:0.22772276401519775 5:0.09057043888856907 6:1.0 7:0.08774101582285349 8:0.0 9:0.0 10:0.0 11:0.05771520491180237 12:0.0 13:0.009345794392523364 14:-0.125 15:0.0 16:17.0
0.0 1:0.07559924883639252 2:0.6520201563835144 3:0.15767933047782276 4:0.2689075469970703 5:0.07568840116604389 6:1.0 7:0.16445911134271238 8:0.0 9:0.0 10:8.996633385257013E-6 11:0.06932543232475075 12:0.7518707444038437 13:0.024 14:0.08333331346511841 15:0.22966507177 16:55.0
0.0 1:0.05269615955186802 2:0.5031256079673767 3:0.3802030397004397 4:0.3125 5:0.020942511070553706 6:0.0 7:0.07759340485553681 8:0.0 9:1.0 10:2.2384389477991423E-7 11:0.0 12:0.0 13:0.021052631578947368 14:0.10000002384185791 15:0.266666666667 16:38.0
0.0 1:0.0417165469625458 2:0.6153571009635925 3:0.21891042883303602 4:0.2857142686843872 5:0.030518189472453258 6:1.0 7:5.294532875327244E-7 8:0.0 9:1.0 10:0.0 11:0.24455172817603643 12:0.0 13:0.01098901098901099 14:-0.07142853736877441 15:0.285714285714 16:16.0
