0.0 1:0.6809188521523893 2:0.953125 3:0.420552821163155 4:0.5964912176132202 5:0.6662389014787858 6:0.6131943297124294 7:0.4767142443881451 8:0.9536386276809057 9:1.0 10:0.4771166962747525 11:0.0 12:0.9666177374499885 13:0.3611111111111111 14:0.2222222089767456 15:1.14285714286 16:4.0
0.0 1:0.33515022750675644 2:0.5803957581520081 3:0.4988992426674574 4:0.4117646813392639 5:0.3946622549510088 6:0.6740255266399832 7:0.30743239116051313 8:0.6613035936300065 9:0.0271234325164873 10:0.21308257353015 11:0.6459411093766485 12:0.7444915248146013 13:0.045454545454545456 14:0.25 15:0.291666666667 16:11.0
0.0 1:0.5870076443029876 2:0.7143465876579285 3:0.6773799139289126 4:0.699999988079071 5:0.7925855279723583 6:1.0 7:0.40891279188942814 8:0.8538336513602693 9:1.0 10:0.38904378805770184 11:0.7613790809330867 12:0.722770530339081 13:0.35714285714285715 14:0.625 15:0.535714285714 16:11.0
0.0 1:0.11053408176935055 2:1.0 3:0.6952384428687681 4:0.8979591727256775 5:0.04524397485861185 6:1.0 7:0.4547228759356099 8:1.0 9:1.0 10:0.9999631024565799 11:0.9201775608748538 12:1.0 13:0.047619047619047616 14:1.0 15:1.0 16:0.0
0.0 1:0.0 2:0.4860740602016449 3:0.3617343127606137 4:0.28070175647735596 5:0.0 6:0.0 7:6.15743855428759E-7 8:0.0 9:0.0 10:0.0 11:0.0 12:0.0 13:0.0 14:0.0 15:0.0 16:5.0
0.0 1:0.45786012590046615 2:0.7870370745658875 3:0.6671081294212474 4:0.4390243887901306 5:0.26737902030919525 6:1.0 7:0.28945692861345484 8:0.5656914483866395 9:1.0 10:0.06053688115330347 11:0.15309025028726855 12:0.6993313974931619 13:0.16666666666666666 14:0.0 15:0.416666666667 16:15.0
0.0 1:0.12476696249030537 2:0.6012455821037292 3:0.34236288200530596 4:0.4126983880996704 5:0.206782823760243 6:1.0 7:0.12431642111748875 8:0.8054365784782858 9:1.0 10:0.02774593427945715 11:0.0 12:0.786806001323415 13:0.022222222222222223 14:0.19999998807907104 15:0.25 16:11.0
0.0 1:0.30622270402367785 2:0.6933673620223999 3:0.5822734963373017 4:0.5625 5:0.24265184824690936 6:0.8960018023684544 7:0.326726468685121 8:0.0 9:1.0 10:8.232154831783597E-7 11:0.4117350547610656 12:0.8742040626385099 13:0.06666666666666667 14:0.3333333134651184 15:0.4 16:4.0
0.0 1:0.5053018966345137 2:0.8641975522041321 3:0.4841761174647055 4:0.5249999761581421 5:0.5687798503305205 6:0.5171494232511733 7:0.3123428202645093 8:0.9500966943567359 9:1.0 10:0.2814839974026241 11:0.0 12:0.6690099531266027 13:0.2857142857142857 14:0.4285714030265808 15:0.872727272727 16:1.0
0.0 1:0.8874132025923805 2:1.0 3:0.9996074241637846 4:0.7321428656578064 5:0.8172764138809016 6:0.7194135228868274 7:0.706473028166492 8:0.8184315575652118 9:1.0 10:0.1441540507945415 11:0.3881707834063817 12:0.687669092626462 13:1.0 14:0.75 15:1.44642857143 16:15.0
