0.0 1:0.1575562760978606 2:0.6560019850730896 3:0.28096235582822965 4:0.3205128312110901 5:0.2833803453807772 6:1.0 7:0.1650088980295882 8:0.849605205746502 9:0.0 10:0.05358851049247692 11:0.3512314321933646 12:0.9090215411074355 13:0.04597701149425287 14:0.125 15:0.111111111111 16:22.0
0.0 1:0.5142477434190982 2:1.0 3:0.627058373426664 4:0.6499999761581421 5:0.582204346403291 6:1.0 7:0.18088720018476412 8:0.5829748375058823 9:1.0 10:0.2088974889740691 11:0.4967803827744389 12:0.6675297964023474 13:0.3888888888888889 14:0.3333333134651184 15:0.794117647059 16:15.0
0.0 1:0.0 2:0.6785714626312256 3:0.3841885104616056 4:0.4166666865348816 5:0.09034547846684975 6:1.0 7:7.720123890424695E-7 8:0.0 9:1.0 10:0.0 11:0.0 12:0.0 13:0.0 14:-1.0 15:0.318181818182 16:24.0
0.0 1:0.2420493940817405 2:0.733588457107544 3:0.3800139919333491 4:0.38461536169052124 5:0.4843690307199893 6:0.0 7:0.38045116981576566 8:0.8929697399378582 9:1.0 10:0.314273787988316 11:0.09100176902050598 12:0.8567003534427751 13:0.01282051282051282 14:0.1538461446762085 15:0.166666666667 16:24.0
0.0 1:0.27645324577995467 2:0.8225107789039612 3:0.22084675062428435 4:0.27419352531433105 5:0.25042317005747 6:0.0 7:0.284038640228585 8:0.8437174280666004 9:1.0 10:0.2530734649170594 11:0.0 12:0.9031115795829057 13:0.05454545454545454 14:0.0 15:0.7 16:8.0
0.0 1:0.3555848487436896 2:0.7586734890937805 3:0.593691662282869 4:0.2647058963775635 5:0.30072588979217607 6:1.0 7:0.3451910313285379 8:0.8731196317641946 9:1.0 10:0.2051568681631649 11:0.10605053257852903 12:0.8707502572796894 13:0.17647058823529413 14:-0.3333333730697632 15:0.7 16:22.0
0.0 1:0.5290854318084441 2:1.0 3:0.8176632466371346 4:0.6571428775787354 5:0.5988119222415675 6:1.0 7:0.6063974225558981 8:0.9600492928864108 9:1.0 10:0.8270592595312971 11:0.7334872036609029 12:0.974104737399457 13:0.2676056338028169 14:0.5384615659713745 15:1.07692307692 16:2.0
0.0 1:0.2570865276776339 2:0.6316497921943665 3:0.30944457310296386 4:0.23076921701431274 5:0.20908754071842361 6:0.0 7:0.16978023178163787 8:0.0 9:1.0 10:0.0 11:0.0 12:0.5799981506538594 13:0.03571428571428571 14:-1.125 15:0.714285714286 16:46.0
0.0 1:0.12637580814129146 2:0.49494948983192444 3:0.2737965659336858 4:0.19402986764907837 5:0.018405400005994922 6:1.0 7:1.2139911723191282E-7 8:0.0 9:1.0 10:0.0 11:0.0 12:0.0 13:0.1 14:-1.0 15:0.0 16:44.0
0.0 1:0.30364515980465856 2:0.7720707654953003 3:0.2975137502773529 4:0.26760566234588623 5:0.44703818026791 6:1.0 7:0.33489445590800104 8:0.5643356533230626 9:1.0 10:0.19117941260503746 11:0.07177701546752333 12:0.5612667691614412 13:0.1 14:-0.07692313194274902 15:0.466666666667 16:16.0
0.0 1:0.31021854476730054 2:0.7895021438598633 3:0.6988541027848494 4:0.5555555820465088 5:0.4027418184214359 6:1.0 7:0.39218777594313337 8:0.0 9:1.0 10:0.0 11:0.0 12:0.8618316156671237 13:0.16666666666666666 14:0.4444444179534912 15:0.454545454545 16:3.0
